paper_id,year,has_abstract,title,citation_count
d3fa78486cbd671b31c72da47322a10da551b937,2026,False,Techniques for interactive visual examination of vessel performance,0
1c54860f4d52d69eb792ad36e5d8738eba0b4747,2025,False,"Geovisualization: past, present, and future",1
54d3a82f58731c7e5bb080d49a60848bc9353a7e,2025,True,Designing for Collaboration: Visualization to Enable Human–LLM Analytical Partnership,0
8b50f924fcb3b6ac023a08e68d91d5c37860f1e8,2025,False,Contextualized visual analytics for multivariate events,1
b6afa6e2d43b6754bf6661c6fae3ce7a4da90697,2025,False,Integrating human knowledge for explainable AI,0
c1743ca2e3761774c116dfe17987015f71672dc8,2025,False,Development of a Human Knowledge Integrated Workflow for Context-aware Machine Learning,0
e2411f2481da07307655aa89922fbb9fb619745f,2025,False,Visualizing game dynamics at a specific time: Influence of the players' poses for tactical analyses in padel,0
e8436a33561144bbd8c9c8353cc8c8f29f5ac750,2025,False,Visually-supported topic modeling for understanding behavioral patterns from spatio-temporal events,3
115d2aa2989bfbe86121fad1dc42fe73ca9881e2,2024,True,Human-in-the-Loop: Visual Analytics for Building Models Recognizing Behavioral Patterns in Time Series,6
249bc241aa971026a9cfd187d48a28d11dca7b43,2024,False,Topic modelling for spatial insights: Uncovering space use from movement data,1
7031f19f0a62bf21a8ff3f627b4299e2b9eb2a2f,2024,True,Creating Quasi-Maps for Uncovering Space-Time Patterns,0
a2158cf12631677e03abd7d55fe705a5379cda0a,2024,True,Mapping Time Lags in Epidemics,0
bb629847e0cedcdc224703376fc50201d1e6c032,2024,True,Mobility Data Science: Perspectives and Challenges,17
11c26cfcee4adeb81fd3c0ea81fc27877128352a,2023,True,Towards Mobility Data Science (Vision Paper),11
17b13e4dd85768221b5a4a018d3def874da485e9,2023,False,OF LEVEL-3,0
18d5e90792571e946c632a24bc9efce1e1c66ce5,2023,True,Episodes and Topics in Multivariate Temporal Data,10
42fbd2ce7c931e6f9c57c3ece6069aa36bb1dfd1,2023,False,Exploring and visualizing temporal relations in multivariate time series,10
44783dcf7b140aa1502e952588a43d81f0d4d7c5,2023,True,"The Flow of Trust: A Visualization Framework to Externalize, Explore, and Explain Trust in ML Applications",12
61f308617eea333a408624b2ed677f2d58cb281f,2023,True,A conceptual framework for developing dashboards for big mobility data,13
6e5459cf8fb4faaf62c73bb093716c99ad36ed29,2023,False,Extracting Movement-based Topics for Analysis of Space Use,3
78a93f331ed3402e872f59ad4c40405f6109fd47,2023,False,"Identifying, exploring, and interpreting time series shapes in multivariate time intervals",18
84f11b01df017255dfe916d0567a2abf7b002f53,2023,True,It's about Time: Analytical Time Periodization,6
ca80208d53783ee5f61b4098c8742a281f93d3e8,2023,True,Re-interpreting rules interpretability,5
cf27af1478cd704923a1844dbdc66605d42bd261,2023,False,"The Flow of Trust: A Visualization Framework to Externalize, Explore & Explain Trust in ML Applications",0
ed0d36eeb90a004eb4c6a23f491a1454a2393200,2023,False,Deep reinforcement learning in service of air traffic controllers to resolve tactical conflicts,10
090435f6cbfaf492e1586cba28aa28ed50e818e2,2022,True,Supporting Visual Exploration of Iterative Job Scheduling,3
141f3ee41021291b19d3544665f4693492c564a3,2022,True,Impact of Temporally Downsampling Movement Data on Interpretation,0
26588edb29802604a7723b76cf9d8fd1c68b55ee,2022,True,Seeking Patterns of Visual Pattern Discovery for Knowledge Building,7
896681268d2410106dd15e3262c5cc6412898526,2022,False,A learning-based approach for efficient visualization construction,9
90b2251d55e191ec132f4b01e627cddce49b11e6,2022,True,Explaining deep reinforcement learning decisions in complex multiagent settings: towards enabling automation in air traffic flow management,24
b84508169391c17e218e3fde3aa78de8824339d7,2022,False,Mobility Data Science (Dagstuhl Seminar 22021),28
ddbe4abaeab14af635862a3d4b3b798e21a2a4ec,2022,False,A hybrid prediction and search approach for flexible and efficient exploration of big data,0
edc589776508d82fd1b89af1502d1acd3b528a98,2022,True,Visual Analytics for Human-Centered Machine Learning,26
1e0d3d862d94b4624d14e31dcf8c95bf25cabed3,2021,False,A theoretical model for pattern discovery in visual analytics,44
217cb2394310280a737d77a16b0462569c624de4,2021,False,Toward flexible visual analytics augmented through smooth display transitions,23
2432bc9b31c5d23ce7edfe8000f5c240cde6ef37,2021,False,Toward flexible visual analytics augmented through smooth display transitions,0
4a51891f651c7b6f3e47653068f56840fae4a8b0,2021,False,What are the topics in football? Extracting time-series topics from game episodes,1
4db09895dab33e8ef030843ae4b9b8f38ab23409,2021,False,S129 Social deprivation appears to be a barrier to referral for investigation of obstructive sleep apnoea,0
ae2c2d69f6f841b51ecfb95e93631257b683f49c,2021,False,Visual Analytics of Vessel Movement,11
e605cdf36ad777393d3a995e6722b23d6c360c52,2021,True,Correction to: Human migration: the big data perspective,0
03f07542565ee9417dc40288beff56fa7743af73,2020,False,Visual Analytics for Understanding Temporal Distributions and Variations,0
0a72110559d96215829fc5384d02f726919c09fd,2020,False,Citywide Traffic Analysis Based on the Combination of Visual and Analytic Approaches,29
1395039b448d61be38f08d1ec4b4b777b69b68fc,2020,False,Conclusion,0
1da72a278c3aee7887eb6fccfa412b18242dbbd2,2020,True,Supporting Story Synthesis: Bridging the Gap between Visual Analytics and Storytelling,86
1f8a23697562b001082b147779b5eaefd3513d0a,2020,True,Human migration: the big data perspective,86
265b611d0a244088dbd353e6a65075dd512b6f18,2020,False,Visual Analytics for Understanding Relationships between Entities,2
2ca469f3885de091c0e5ecfd1199fffc8973f8f6,2020,True,"Give more data, awareness and control to individual citizens, and they will help COVID-19 containment",68
38dcc1fcef22e7bb17e1dbeee7221ca7787c344c,2020,False,General Concepts,0
3e0d30390f715cfe21db8245faf5ed38ff53d4c3,2020,True,Guide Me in Analysis: A Framework for Guidance Designers,32
40a822fa6e5f295c9e28e3a635579b28aa2707de,2020,True,(So) Big Data and the transformation of the city,30
54aa1b09270b32f8497157f9464f8bc1cf037827,2020,True,LDA Ensembles for Interactive Exploration and Categorization of Behaviors,32
55a99840639956010eaa147b5b8abc1f4745b636,2020,True,Visual Analysis of Place Connectedness by Public Transport,17
59492d686c540960b3bcd747ddc7974870d9d3d7,2020,True,Spatio-temporal visual analytics: a vision for 2020s,12
5da9cd45b6dc8ff2dd04ca4f2bb277e38e347c80,2020,False,Introduction to Visual Analytics by an Example,0
5fb6fec6960325493e5dbc248492f2fa1e674029,2020,False,5.2 Visual Analytics for Characterizing Mobility Aspects of Urban Context,3
703c51d52a4a82b8a2145c7dc5f1962044a65320,2020,False,Visual Analytics for Data Scientists,29
79164aec34709012be2b7f02f49a29ebc0e363e3,2020,True,"Give more data, awareness and control to individual citizens, and they will help COVID-19 containment",0
7c943310f7fb80215b41dfe0039a0db88f353107,2020,False,Computational Modelling with Visual Analytics,0
813100c11e5c70d04949b1c89144bb3f36ca1af3,2020,True,Co-Bridges: Pair-wise Visual Connection and Comparison for Multi-item Data Streams,14
